Date,Open,High,Low,Close,Volume
2000-01-03,126.93349064588737,127.35016632080077,126.93349064588737,127.35016632080078,249030
2000-01-04,131.40375843337785,131.40375843337785,124.1740650550679,125.88766479492188,585140
2000-01-05,121.41463446777179,124.17405797840297,116.17172979757255,121.40911865234375,802960
2000-01-06,122.78881119297073,130.24476932035242,121.96650008388933,126.28224182128906,1900320
2000-01-07,126.93350033822347,135.3221473720091,125.95390821492023,133.1670379638672,1925820
2000-01-10,134.93581291924406,137.9159870140542,133.0042164152876,134.17697143554688,865910
2000-01-11,135.21178183774427,139.5716685775441,131.9004728947791,137.18753051757812,1344110
2000-01-12,137.97122417580468,148.16453889160076,137.41933927910145,146.12808227539062,1770570
2000-01-13,148.95370666940482,157.81973747864697,146.24947447213128,153.79098510742188,2545080
2000-01-14,151.76833480136807,153.25843064356627,146.2494862631365,149.1248016357422,1202400
2000-01-17,151.70760831215776,151.7683075509288,140.46018589490427,143.39346313476562,965390
2000-01-18,143.32449693799745,143.9315567766119,140.5098809395031,141.36253356933594,894390
2000-01-19,142.11035137117923,143.49006352041397,138.02640677788222,139.5689239501953,1186660
2000-01-20,139.35089127671648,139.90277599464406,138.79900655878888,139.31777954101562,1215590
2000-01-21,140.17870718335004,143.21407289007612,139.991068415269,140.625732421875,750120
2000-01-24,140.730607195047,146.19426269418233,140.2339143027957,142.30348205566406,711990
2000-01-25,143.3630813027301,143.3630813027301,140.50984685830224,140.84373474121094,540930
2000-01-26,140.84373474121094,140.84373474121094,140.84373474121094,140.84373474121094,0
2000-01-27,144.59377897554455,147.90508689101503,140.1235099212228,141.26315307617188,926470
2000-01-28,139.35087645154238,141.54738345840016,137.41928014429325,139.28189086914062,464210
2000-01-31,134.93583926216502,137.64007152720225,132.50754940870684,134.65989685058594,690790
2000-02-01,133.28014004351053,133.28014004351053,126.10563975131328,128.40699768066406,1174420
2000-02-02,132.45237345973055,137.91603049650638,131.0726612361917,132.8359375,983250
2000-02-03,133.99763052879499,135.26696724737337,130.18962037305977,134.5439910888672,583650
2000-02-04,134.64883313983358,134.64883313983358,128.31319884098878,129.5135498046875,333800
2000-02-07,129.41695582884807,129.9688405018922,125.55376311753918,127.42741394042969,367640
2000-02-08,126.93349841667622,128.83749920870767,126.93349841667622,127.31706237792969,417900
2000-02-09,134.65983091083254,136.86736912248554,130.52069676398318,133.45120239257812,675040
2000-02-10,131.41751153704135,134.9357756254346,128.03721858936942,128.64981079101562,878920
2000-02-11,132.1764009482087,135.20625133347937,127.3198133418847,131.15541076660156,1568670
2000-02-14,130.79668779534344,133.28016920917906,126.76792737312478,126.9500503540039,578030
2000-02-15,127.48537085121839,130.23651652872582,125.82971668431945,127.04386138916016,715130
2000-02-16,132.45236056155093,133.00424539722405,126.93351220481964,127.54334259033203,907290
2000-02-17,129.5273224623456,129.5273224623456,127.48535099214423,128.4263153076172,620800
2000-02-18,128.47326606008718,138.70245342030142,127.76133833361759,138.68865966796875,2380600
2000-02-21,147.0221005088316,149.78428649902344,143.54523316752764,149.78428649902344,3437360
2000-02-22,161.15035487929356,161.76846313476562,161.15035487929356,161.76846313476562,1153490
2000-02-23,174.71021441063212,174.71021441063212,152.59618146663288,158.71658325195312,5542040
2000-02-24,165.45504993234465,171.41541564815566,161.42629778434514,170.35302734375,2852320
2000-02-25,171.64169359811976,178.4795373751646,168.32486062708293,173.36080932617188,2247400
2000-02-28,172.739966767295,173.56779408407115,165.5654633552348,168.6311798095703,1525020
2000-02-29,171.08434835725362,171.08434835725362,155.30319626009597,158.07090759277344,2935240
2000-03-01,157.23198485779994,169.09750871481683,147.6319542934153,165.0522003173828,2619520
2000-03-02,167.77293310230166,168.49037640830022,153.42393224486798,155.5100555419922,1631440
2000-03-03,150.96253219763554,150.96253219763554,143.07057158055386,143.1367950439453,1927460
2000-03-06,138.19197025703093,147.3532626118219,133.11463105724707,136.49217224121094,1511230
2000-03-07,136.3155456112711,143.4817616556136,131.3485824108604,137.00540161132812,1968500
2000-03-08,144.9249550552645,146.2494752361353,134.77026945791044,137.54624938964844,1734020
2000-03-09,139.19657497651406,141.1414373015352,127.8608093879615,133.4786834716797,1395840
2000-03-10,133.36197157475002,138.9187203903646,129.24998084276555,131.289306640625,1363200
2000-03-13,133.92322534625703,141.65544752596338,133.41756755289572,139.9856414794922,1408900
2000-03-14,141.14144445255252,151.14359405942633,139.47441951807355,148.26242065429688,2478930
2000-03-15,150.0323179623205,160.12338256835938,147.253941703759,160.12338256835938,1129810
2000-03-16,161.1513419666747,168.92523122722886,158.36740427552706,162.0487518310547,2166470
2000-03-17,162.0487518310547,162.0487518310547,162.0487518310547,162.0487518310547,0
2000-03-20,162.0487518310547,162.0487518310547,162.0487518310547,162.0487518310547,0
2000-03-21,163.92409348136903,165.59111816084055,155.0332951908541,157.17819213867188,1575880
2000-03-22,156.53367459918516,158.03398711919314,144.60609425322716,150.81021118164062,1557710
2000-03-23,150.03221983518256,150.03221983518256,144.58661271319443,146.73985290527344,744470
2000-03-24,147.25393110817228,148.9209567433591,143.41977553881483,145.21737670898438,849510
2000-03-27,147.19833559802623,150.5323863112674,137.80742948063534,139.20773315429688,1693190
2000-03-28,138.83263807296657,141.69714237081524,136.7516376561112,139.377197265625,1011030
2000-03-29,143.80312215729512,143.80312215729512,136.97387241138455,137.8157196044922,633030
2000-03-30,137.8073926752359,141.585984170181,136.1403677638419,139.8856201171875,888970
2000-03-31,138.91873480580685,141.64153861642998,133.3619854135746,134.051025390625,1232490
2000-04-03,136.14036486624988,144.7755584716797,135.02901494897438,144.7755584716797,1869970
2000-04-04,144.97563216964159,145.58687817952426,133.1953215852522,133.23977661132812,3230190
2000-04-05,130.58360025978592,142.2527730489583,130.58360025978592,141.1664276123047,1579810
2000-04-06,142.25282301062458,143.3641731903951,138.0852598364852,141.61380004882812,1479270
2000-04-07,141.697144094132,152.94400218316753,141.697144094132,152.05215454101562,2588120
2000-04-10,152.81062833678303,159.74545859304033,150.6434991810325,152.51055908203125,2259220
2000-04-11,150.08785733931148,152.25498697401204,145.64245625977827,150.22677612304688,1205730
2000-04-12,146.6982143120142,150.03226463728726,145.58686420358984,146.22866821289062,446840
2000-04-13,142.25282709053639,146.0869819291393,139.47445156142436,143.24192810058594,805580
2000-04-14,143.24192810058594,143.24192810058594,143.24192810058594,143.24192810058594,0
2000-04-17,139.4744074387659,140.0300823688008,131.97279588329442,137.85739135742188,1972360
2000-04-18,139.46057503592525,143.36418959754215,136.14041260231716,137.0406036376953,1127770
2000-04-19,139.75228546626963,143.36417355983124,135.47358895891315,139.12159729003906,897730
2000-04-20,140.25235169639163,141.69710993435177,136.58490217368208,140.53575134277344,957160
2000-04-21,140.53575134277344,140.53575134277344,140.53575134277344,140.53575134277344,0
2000-04-24,141.69714907063482,146.0869789247809,138.97434449967267,141.4193115234375,777020
2000-04-25,139.41891981927824,140.80810797402964,133.91773811803532,134.95684814453125,1464200
2000-04-26,141.69715309351233,141.69715309351233,137.02948555965068,138.81597900390625,1454490
2000-04-27,139.7522681354822,141.10811654678494,136.14038048983355,137.53790283203125,979420
2000-04-28,138.35471169988529,138.80758808817797,132.25062274375293,133.25083923339844,790750
2000-05-01,133.25083923339844,133.25083923339844,133.25083923339844,133.25083923339844,0
2000-05-02,132.3062314729355,133.36479175428104,117.80310942145826,121.5150146484375,1596590
2000-05-03,119.47011369384082,129.4166918609666,112.8575852111943,121.46776580810547,2177960
2000-05-04,123.24869580756851,135.41797285354562,121.80393766085541,133.9148712158203,1832040
2000-05-05,135.0290250869778,141.69712509127302,134.4733500866199,140.94696044921875,2086010
2000-05-08,139.53004104452108,143.91987157353157,131.86727556659423,132.9702911376953,1211370
2000-05-09,131.81725993123666,137.80743737764405,130.19468950861665,136.47659301757812,986290
2000-05-10,138.58533407342753,138.58533407342753,133.41756363754567,134.24551391601562,436950
2000-05-11,133.41756641787242,133.41756641787242,124.75181440513437,127.30236053466797,1067720
2000-05-12,127.80528964204086,130.5781118045157,125.36032227524348,126.59114074707031,774810
2000-05-15,125.03519725507157,130.58361191317792,119.52568391295186,129.1055145263672,1388630
2000-05-16,130.13907261876335,130.52804339104026,126.749460484434,129.39447021484375,629990
2000-05-17,130.58364571531072,132.47293762345,128.1942411404788,128.7610321044922,579770
2000-05-18,130.58363540850405,131.80611881015972,125.3380616337637,130.85035705566406,479260
2000-05-19,131.6949632548859,131.6949632548859,123.63767647346883,124.83793640136719,2091810
2000-05-22,122.25130686045165,126.13825159161425,119.52572108917627,123.40711212158203,856110
2000-05-23,122.24848514855256,124.36005158781288,121.72059565846912,122.44574737548828,610720
2000-05-24,115.30253039718465,124.47116534443066,115.30253039718465,123.42372131347656,384650
2000-05-25,124.47121078465622,127.74969017714503,122.80418564021886,124.26283264160156,819490
2000-05-26,125.02684309313635,139.17432871342467,124.02662665260617,139.08541870117188,3013660
2000-05-29,140.30796052824368,149.47659953305958,139.47444789144222,142.93630981445312,2144790
2000-05-30,141.2525874548094,143.0863167044776,137.9240995335181,141.6221160888672,1257200
2000-05-31,142.80847338504643,147.52892974340818,141.75269428855677,143.29747009277344,2633440
2000-06-01,141.76380013462565,143.58363232759064,137.5295594420308,138.3825225830078,1349930
2000-06-02,138.91873635475093,143.03072755928085,136.19593251376853,141.96661376953125,1432180
2000-06-05,142.97515026061458,146.9760164713307,141.6971047266137,142.52505493164062,1500130
2000-06-06,141.8082376735385,145.5868288196036,141.15531794774165,144.04205322265625,930160
2000-06-07,147.1427473573687,147.2538891511916,142.25281367058508,143.09188842773438,648190
2000-06-08,143.9753892934855,149.47656814980715,143.9753892934855,145.10340881347656,1227920
2000-06-09,146.42039355673256,146.42039355673256,143.91985552635194,144.7561492919922,603670
